das	Geschenk	Geschenke	regalo
das	Getränk	Gentränke	bebida
das	Glas	Gläser	vasos, lentes, anteojos
das	Glück	-	felicidad, suerte, fortuna
das	Gramm	Gramms	gramo
die	Gruppe	Gruppen	grupo
die	Gurke	Gurken	pepino
der	Hafen	Häfen	puerto
die	Handwerkerin	Handwerkerinnen	artesano
die	Handynummer	Handynummern	número de teléfono
das	Hänschen	Hänschen	pollo
das	Haus	Häuser	Casa
die	Hausaufgabe	Hausaufgaben	tarea
die	Hausnummer	Hausnummern	número de casa
der	Herbst	-	otoño
das	Hobby	Hobbys	hobby
die	Homepage	Homepages	página principal
das	Hotel	Hotels	hotel
der	Hunger	-	hambre
die	Information	Informationen	información
das	Jahr	Jahre	año
die	Jahreszeit	Jahreszeiten	estación del año
der	Januar	-	enero
der	Joghurt	Joghurts	yogurt
das	Joghurt	Joghurts	yogurt
der	Journalist	Journalisten	periodista
der	Juli	-	julio
der	Juni	-	junio
der	Kaffee	Kaffees	cafe
das	Kaffeehaus	Kaffeehäuser	café
die	Kantine	Kantinen	cantina
die	Karte	Karten	tarjeta, carta, baraja
die	Kartoffel	Kartoffeln	papa
der	Käse	-	queso
der	Kassenzettel	Kassenzettel	recibo
der	Keks	Kekse	galleta
die	Kellnerin	Kellnerinnen	mesera
das	Kilo	Kilos	kilo
der	Kilometer	Kilometer	kilómetro
der	Kindergarten	Kindergärten	jardín de niños
das	Kino	Kinos	cine
die	Kirche	Kirchen	iglesia
die	Kneipe	Kneipen	bar, taberna
der	Koch	Köche	cocinero
die	Köchin	Köchinnen	cocinera
der	Koffer	Koffer	maleta
der	Kollege	Kollegen	compañero, colega
die	Kollegin	Kolleginnen	compañera, colega
das	Konzert	Konzerte	concierto
das	Konzerthaus	Konzerthäuser	sala de conciertos
die	Konzertkarte	Konzertkarten	boleto de orquesta
das	Krankenhaus	Krankenhauser	hospital
der	Krankenpfleger	Krankenpfleger	enfermero
der	Kuchen	Kuchen	pastel
der	Kurs	Kurse	curso, clase
der	Lehrer	Lehrer	maestro
die	Lehrerin	Lehrerin	maestra
die	Limonade	Limonaden	limonada
der	Liter	Liters	litro
der	Löffel	Löffel	cuchara
das	Lokal	Lokale	local
die	Lösung	Lösungen	solución, desenlace, salida, resolución
der	Mai	-	mayo
die	Mail	Mails	correo
der	Markt	Märkte	mercado
die	Marmelade	Marmeladen	mermelada
der	März	-	marzo
die	Mechanikerin	Mechanikerinnen	mecánico
das	Medikament	Medikamente	medicamento
das	Meer	Meere	mar, oceano
die	Mensa	Mensen	cantina, cafetería
der	Mensch	Menschen	gente, persona, hombre
das	Messer	Messer	cuchillo
der	Meter	Meter	metro
die	Metzgerei	Metzgereien	carnicería
die	Milch	-	leche
die	Minute	Minuten	minuto
der	Mittag	Mittage	mediodía
das	Mittagessen	Mittagessen	comida
die	Mitte	Mitten	mitad, en medio
der	Moment	Momente	momento
der	Monat	Monate	mes
der	Morgen	Morgen	mañana
das	Museum	Museen	museo
die	Musik	-	música
die	Musikschule	Musikchulen	escuela de música
das	Müsli	Müslis	granola, cereal
der	Nachmittag	Nachmittage	tarde
die	Nachricht	Nachrichten	noticia
die	Nacht	Nächte	noche
die	Notiz	Notizen	nota
der	November	-	noviembre
die	Nudeln	Nudeln	pasta
das	Obst	-	fruta
der	Oktober	-	octubre
das	Öl	Öle	aceite
die	Olive	Oliven	aceituna
das	Orchester	Orchester	orquesta, banda
der	Ort	Orte	lugar
die	Packung	Packungen	paquete
der	Park	Parks	parque
der	Partner	Partner	pareja
die	Partnerin	Partnerinnen	pareja
die	Person	Personen	persona
der	Pfeffer	-	pimienta
die	Pizza	Pizzas, Pizzen	pizza
das	Plakat	Plakate	poster
der	Plan	Pläne	plan, proyecto
der	Polizist	Polizisten	policia
die	Postleitzahl	Postleitzahlen	código postal
der	Preis	Preise	precio
das	Programm	Programme	programa
das	Publikum	-	público, audiencia
das	Rathaus	Rathäuser	ayuntamiento
die	Rechnung	Rechnungen	factura, ticket, recibo
der	Regisseurin	Regisseurinnen	director de película
das	Reis	-	arroz
das	Restaurant	Restaurants	restaurante
die	S-Bahn	S-Bahnen	S-Bahn
der	Saft	Säfte	jugo
die	Sahne	-	crema
die	Salami	Salamis	salami
der	Salat	Salate	ensalada
das	Salz	Salze	sal
der	Sandwich	Sandwichs	sandwich
das	Schauspieler	Schauspieler	actor
die	Schauspielerin	Schauspielerinnen	actriz
das	Schiff	Schiffe	barco
der	Schinken	Schinken	jamón
der	Schlüssel	Schlüssel	llave
das	Schnitzel	Schnitzel	escalope
die	Schokolade	Schokoladen	chocolate
die	Schorle	Schorlen	spritz
die	Schule	Schulen	escuela
das	Schwimmbad	Schwimmbäder	piscina, alberca
der	See	Seen	lago
die	Sekunde	Sekunden	segundo
die	Selbstbedienung	-	autoservicio
das	Seminar	Seminare	seminario
der	September	-	septiembre
die	Serviette	Servietten	servilleta
der	Sommer	Sommer	verano
die	Speisekarte	Speisekarten	menú
der	Spielplatz	Spielplätze	parque infantil, parque
die	Spritze	Spritzen	inyección
der	Star	Stars	estrella
der	Start	-	inicio
die	Station	Stationen	estación
der	Stift	Stifte	pluma, bolígrafo
die	Straße	Straßen	calle
die	Straßenbahn	Straßenbahnen	tranvía
der	Stress	-	estrés
das	Stück	Stücke	pieza, pedazo, rebanada
die	Studentin	Studentinnen	alumno
die	Stunde	Stunden	hora
der	Supermarkt	Supermärkte	supermercado
die	Suppe	Suppen	sopa
die	Tablette	Tabletten	tableta
der	Tag	Tage	día
die	Tasse	Tassen	taza
das	Taxi	Taxis	taxi
der	Taxifahrer	Taxifahrer	taxista
der	Tee	Tees	té
die	Telefonnummer	Telefonnummern	número de teléfono
der	Teller	Teller	plato
der	Termin	Termine	cita
das	Test	Tests, Teste	prueba, examen
der	Text	Texte	texto
das	Theater	Theater	teatro
das	Ticket	Tickets	boleto
die	Tomate	Tomaten	tomate
die	Tomatensupper	Tomatensuppen	sopa de tomate
der	Treffpunkt	Treffpunkte	lugar de encuentro
das	Trinkgeld	-	propina
der	Turm	Türme	torre
die	Tüte	Tüten	bolsa
die	U-Bahn	U-Bahnen	U-Bahn
die	Überraschung	Überraschungen	sorpresa
die	Uhr	Uhren	reloj, hora
die	Uni	Uni	universidad
die	Universität	Universitäten	universidad
die	Verabredung	Verabredungen	cita, junta
die	Verkäuferin	Verkäuferinnen	precio de venta, vendedora
die	Verspätung	Verspätungen	retraso
das	Wasser	Wasser	agua
der	Weg	Wege	camino
die	Welt	Welten	mundo, universo, Tierra
der	Winter	Winter	invierno
die	Woche	Wochen	semana
das	Wochenende	Wochenenden	fin de semana
der	Wochentag	Wochentage	día hábil
der	Wohnort	Wohnorte	lugar de residencia, domicilio
das	Wort	Wörter	palabra
das	Wörterbuch	Wörterbücher	diccionario
die	Wurst	Würste	salchicha
die	Zahl	Zahlen	números
die	Zeitung	Zeitungen	periodico, diario
das	Ziel	Ziele	objetivos
das	Zimmer	Zimmer	habitación
der	Zucker	-	azúcar
der	Zug	Züge	tren
die	Zwiebel	Zwiebeln	cebolla
die	Stadt	Städte	ciudad
das	Land	Länder	país
-	Achtung	-	atención, cuidado
das	Adjektiv	Adjektive	adjetivo
die	Adresse	Adressen	dirección
das	Alphabet	Alphabete	alfabeto
die	Altstadt	Altstädte	casco histórico
die	Anzeige	Anzeigen	anuncio
der	Apfelsaft	Apfelsäfte	jugo de manzana
die	Apfelsaftschorle	Apfelsaftschorlen	bebida de manzana con agua mineral
die	Arbeit	Arbeiten	trabajo
der	Arm	Arme	brazo
der	Artikel	Artikel	artículo
